event_id,competition,season,home_team,away_team,kickoff,market,selection,odds,quote_timestamp,timestamp_timezone,available_at,source,source_dataset,bookmaker,temporal_basis,license,match_confidence,strict_status
btb-kaggle|1005162|t-1h,Latvia: Virsl?ga,2015,Metta/LU,BFC Daugavpils,2015-09-25T16:00:00.000Z,1X2,DRAW,3.5,2015-09-25T15:00:00.000Z,UTC,2015-09-25T15:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,bet365,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005162|t-1h,Latvia: Virsl?ga,2015,Metta/LU,BFC Daugavpils,2015-09-25T16:00:00.000Z,1X2,HOME,2.2,2015-09-25T15:00:00.000Z,UTC,2015-09-25T15:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,bet365,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005171|t-1h,Germany: 2. Bundesliga,2015,Bochum,Kaiserslautern,2015-09-25T16:30:00.000Z,1X2,AWAY,3.08,2015-09-25T15:30:00.000Z,UTC,2015-09-25T15:30:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005171|t-1h,Germany: 2. Bundesliga,2015,Bochum,Kaiserslautern,2015-09-25T16:30:00.000Z,1X2,DRAW,3.4,2015-09-25T15:30:00.000Z,UTC,2015-09-25T15:30:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005171|t-1h,Germany: 2. Bundesliga,2015,Bochum,Kaiserslautern,2015-09-25T16:30:00.000Z,1X2,HOME,2.46,2015-09-25T15:30:00.000Z,UTC,2015-09-25T15:30:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005173|t-1h,Germany: 2. Bundesliga,2015,Nurnberg,Arminia Bielefeld,2015-09-25T16:30:00.000Z,1X2,AWAY,3.86,2015-09-25T15:30:00.000Z,UTC,2015-09-25T15:30:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005173|t-1h,Germany: 2. Bundesliga,2015,Nurnberg,Arminia Bielefeld,2015-09-25T16:30:00.000Z,1X2,DRAW,3.48,2015-09-25T15:30:00.000Z,UTC,2015-09-25T15:30:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005173|t-1h,Germany: 2. Bundesliga,2015,Nurnberg,Arminia Bielefeld,2015-09-25T16:30:00.000Z,1X2,HOME,2.08,2015-09-25T15:30:00.000Z,UTC,2015-09-25T15:30:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005213|t-1h,Denmark: Superliga,2015,Viborg,Aalborg,2015-09-25T18:00:00.000Z,1X2,AWAY,2.29,2015-09-25T17:00:00.000Z,UTC,2015-09-25T17:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005213|t-1h,Denmark: Superliga,2015,Viborg,Aalborg,2015-09-25T18:00:00.000Z,1X2,DRAW,3.45,2015-09-25T17:00:00.000Z,UTC,2015-09-25T17:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
