date,club,country,elo
2000-07-01,Aachen,GER,1453.60
2000-07-01,Aalborg,DEN,1482.61
2000-07-01,Aalst,BEL,1337.53
2000-07-01,Aarhus,DEN,1381.46
2000-07-01,Aberdeen,SCO,1360.43
2023-08-01,Burnley,ENG,1726.42
2023-08-01,Man City,ENG,2077.27
2025-06-15,A. Sebatspor,TUR,1369.55
2025-06-15,AEK,GRE,1516.50
