Division,MatchDate,MatchTime,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,HomeShots,AwayShots,HomeTarget,AwayTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,Over25,Under25,MaxOver25,MaxUnder25,HandiSize,HandiHome,HandiAway,C_LTH,C_LTA,C_VHD,C_VAD,C_HTB,C_PHB
F1,2000-07-28,,Marseille,Troyes,1686.34,1586.57,0.0,0.0,0.0,0.0,3.0,1.0,H,2.0,1.0,H,,,,,,,,,,,,,1.65,3.3,4.3,,,,,,,,,,,,,,,,
F1,2000-07-28,,Paris SG,Strasbourg,1714.89,1642.51,0.0,0.0,0.0,0.0,3.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,,1.6,3.4,4.6,,,,,,,,,,,,,,,,
F2,2000-07-28,,Wasquehal,Nancy,1465.08,1633.8,0.0,0.0,0.0,0.0,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,2000-07-29,,Auxerre,Sedan,1635.58,1624.22,0.0,0.0,0.0,0.0,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,,1.7,3.3,3.9,,,,,,,,,,,,,,,,
E0,2023-08-11,20:00:00,Burnley,Man City,1726.42,2077.27,9.0,10.0,4.0,10.0,0.0,3.0,A,0.0,2.0,A,6.0,17.0,1.0,8.0,11.0,8.0,6.0,5.0,0.0,0.0,1.0,0.0,9.02,5.35,1.35,9.5,5.68,1.39,1.65,2.27,1.71,2.4,1.5,1.86,2.07,0.0349,0.0179,0.9156,0.0099,0.0119,0.0099
SC0,2026-08-01,15:00:00,Falkirk,St Mirren,1308.43,1277.15,0.0,3.0,4.0,4.0,0.0,2.0,A,0.0,1.0,A,10.0,15.0,1.0,5.0,18.0,18.0,7.0,7.0,0.0,4.0,0.0,0.0,1.96,3.6,3.5,2.05,3.6,3.7,1.83,2.03,1.83,2.03,-0.5,2.03,1.83,,,,,,
