event_id,source,market,selection,price,quote_timestamp,precision,origin,capital_eligible
kaggle-ah-2591115,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-18T20:29:51.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2591116,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-19T21:59:52.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2591117,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-18T22:59:48.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596801,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-19T01:29:52.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596802,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-19T20:59:46.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596803,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-19T03:59:40.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596804,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-18T20:59:42.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596805,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-18T23:14:50.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596806,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-20T01:29:49.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596807,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-19T23:14:53.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596808,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-20T03:59:57.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596809,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-21T03:59:59.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596810,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-18T03:59:38.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596811,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-28T03:59:59.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596812,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-27T01:29:51.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596813,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-25T23:14:56.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596814,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-27T03:59:56.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596815,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-25T03:59:56.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596816,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-25T20:59:55.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
