market,model_ready,observed
1X2,false,true
ASIAN_HANDICAP,false,true
AH,false,true
TOTAL_GOALS,false,true
OU25,false,true
BTTS,false,false
CORNERS,false,false
CARDS,false,false
DC,false,false
DNB,false,false
