bucket,matches,odds_b365_pct,odds_max_pct,stats_shots_pct,elo_pct,form_pct,clusters_pct,odds_b365_bucket,stats_bucket,elo_bucket,form_bucket
2000-2005,24797,89.02,0,42.33,76.02,100,38.9,75-90%,25-50%,75-90%,99%+
2005-2010,34086,99.78,92.1,50.85,73.13,100,47.3,99%+,50-75%,50-75%,99%+
2010-2015,48654,99.8,99.91,42.21,57.45,100,42.13,99%+,25-50%,50-75%,99%+
2015-2020,60876,99.87,99.92,46.16,48.58,97.72,46.13,99%+,25-50%,25-50%,90-99%
2020-2025,58506,99.91,99.91,59.19,48.54,99.81,59.16,99%+,50-75%,25-50%,99%+
2025+,11939,99.9,99.9,95.37,92.22,99.42,30.47,99%+,90-99%,90-99%,99%+
invalid_date,0,0,0,0,0,0,0,0%,0%,0%,0%
